City,Japanese,Prefecture,Population,Area,Density,Founded
Fukutsu,福津市,Fukuoka,"55,123",52.70,"1,046",2005-01-24
Ukiha,うきは市,Fukuoka,"32,277",117.55,275,2005-03-20
Miyawaka,宮若市,Fukuoka,"30,793",139.99,220,2006-02-11
Asakura,朝倉市,Fukuoka,"57,881",246.73,235,2006-03-20
Iizuka,飯塚市,Fukuoka,"132,208",214.13,617,2006-03-26
Kama,嘉麻市,Fukuoka,"44,431",135.18,329,2006-03-27
Miyama,みやま市,Fukuoka,"42,219",105.12,402,2007-01-29
Itoshima,糸島市,Fukuoka,"100,304",216.12,464.11,2010-01-01
Aizuwakamatsu,会津若松市,Fukushima,"129,388",383.03,338,1899-04-01
Fukushima,福島市,Fukushima,"289,355",746.43,388,1907-04-01
KoriyamaKōriyama,郡山市,Fukushima,"339,395",757.06,448,1924-09-01
Sukagawa,須賀川市,Fukushima,"80,336",279.55,287,1954-03-31
SomaSōma,相馬市,Fukushima,"38,543",197.67,195,1954-03-31
Iwaki,いわき市,Fukushima,"349,947","1,231.34",284,1966-10-01
Tamura,田村市,Fukushima,"42,221",458.30,92.1,2005-03-01
Shirakawa,白河市,Fukushima,"65,665",305.30,215,2005-11-07
Nihonmatsu,二本松市,Fukushima,"61,698",344.65,179,2005-12-01
MinamisomaMinamisōma,南相馬市,Fukushima,"71,761",398.50,180,2006-01-01
Date,伊達市,Fukushima,"67,487",265.10,255,2006-01-01
Kitakata,喜多方市,Fukushima,"54,684",554.67,98.6,2006-01-04
Motomiya,本宮市,Fukushima,"31,737",87.94,361,2007-01-01
Gifu,岐阜市,Gifu,"412,779",202.89,"2,034",1889-07-01
OgakiŌgaki,大垣市,Gifu,"163,047",206.52,789,1918-04-01
Takayama,高山市,Gifu,"94,879","2,177.67",43.6,1936-11-01
Tajimi,多治見市,Gifu,"114,866",91.24,"1,259",1940-08-01
Seki,関市,Gifu,"92,896",472.84,196,1950-10-15
Nakatsugawa,中津川市,Gifu,"83,116",676.38,123,1952-04-01
Mino,美濃市,Gifu,"22,912",117.05,196,1954-04-01
Mizunami,瑞浪市,Gifu,"41,556",175.00,237,1954-04-01
Hashima,羽島市,Gifu,"67,167",53.64,"1,252",1954-04-01
Minokamo,美濃加茂市,Gifu,"53,988",74.81,722,1954-04-01
Toki,土岐市,Gifu,"61,393",116.01,529,1955-02-01
Kakamigahara,各務原市,Gifu,"145,126",87.77,"1,653",1963-04-01
Kani,可児市,Gifu,"99,318",87.60,"1,134",1982-04-01
Yamagata,山県市,Gifu,"29,857",222.04,134,2003-04-01
Mizuho,瑞穂市,Gifu,"51,230",28.18,"1,818",2003-05-01
Hida,飛騨市,Gifu,"28,112",792.31,35.5,2004-02-01
Motosu,本巣市,Gifu,"34,729",374.57,92.7,2004-02-01
GujoGujō,郡上市,Gifu,"46,338","1,030.79",45.0,2004-03-01
Gero,下呂市,Gifu,"37,455",851.06,44.0,2004-03-01
Ena,恵那市,Gifu,"54,844",504.19,109,2004-10-25
Kaizu,海津市,Gifu,"38,532",112.31,343,2005-03-28
Maebashi,前橋市,Gunma,"318,058",241.22,"1,319",1892-04-01
Takasaki,高崎市,Gunma,"341,838",401.01,852,1900-04-01
KiryuKiryū,桐生市,Gunma,"124,892",274.57,455,1921-03-01
Isesaki,伊勢崎市,Gunma,"204,240",139.33,"1,466",1940-09-13
OtaŌta,太田市,Gunma,"214,049",176.49,"1,213",1948-05-03
Numata,沼田市,Gunma,"52,319",443.37,118,1954-04-01
Tatebayashi,館林市,Gunma,"79,023",60.98,"1,296",1954-04-01
Fujioka,藤岡市,Gunma,"68,710",180.09,382,1954-04-01
Shibukawa,渋川市,Gunma,"86,134",240.42,358,2006-02-20
Annaka,安中市,Gunma,"62,270",276.34,225,2006-03-18
Tomioka,富岡市,Gunma,"53,332",122.90,434,2006-03-27
Midori,みどり市,Gunma,"51,964",208.23,250,2006-03-27
Hiroshima,広島市,Hiroshima,"1,199,391",905.13,"1,286",1889-04-01
Onomichi,尾道市,Hiroshima,"148,085",284.85,520,1898-04-01
Kure,呉市,Hiroshima,"246,118",353.74,696,1902-10-01
Fukuyama,福山市,Hiroshima,"461,368",518.07,891,1916-07-01
Mihara,三原市,Hiroshima,"103,209",471.03,219,1936-11-15
FuchuFuchū,府中市,Hiroshima,"44,212",195.71,226,1954-03-31
Miyoshi,三次市,Hiroshima,"58,264",778.19,74.9,1954-03-31
ShobaraShōbara,庄原市,Hiroshima,"41,747","1,246.60",33.5,1954-03-31
OtakeŌtake,大竹市,Hiroshima,"29,665",78.55,378,1954-09-01
Takehara,竹原市,Hiroshima,"29,803",118.30,252,1958-11-03
Higashihiroshima,東広島市,Hiroshima,"187,711",635.32,295,1974-04-20
Hatsukaichi,廿日市市,Hiroshima,"115,184",489.36,235,1988-04-01
Akitakata,安芸高田市,Hiroshima,"32,323",537.79,60.1,2004-03-01
Etajima,江田島市,Hiroshima,"28,601",100.97,283,2004-11-01
Sapporo,札幌市,Hokkaido,"1,976,257","1,121.26","1,763",1922-08-01
Hakodate,函館市,Hokkaido,"243,942",677.89,409,1922-08-01
Otaru,小樽市,Hokkaido,"130,255",243.30,535,1922-08-01
Asahikawa,旭川市,Hokkaido,"350,511",747.60,469,1922-08-01
Muroran,室蘭市,Hokkaido,"93,078",80.65,"1,154",1922-08-01
Obihiro,帯広市,Hokkaido,"168,188",618.94,272,1933-04-01
YubariYūbari,夕張市,Hokkaido,"7,205",763.07,9.44,1943-04-01
Iwamizawa,岩見沢市,Hokkaido,"89,023",481.10,185,1943-04-01
Abashiri,網走市,Hokkaido,"100,000",471.00,81.8,1947-02-11
Rumoi,留萌市,Hokkaido,"24,036",297.44,80.8,1947-10-01
Tomakomai,苫小牧市,Hokkaido,"173,761",561.49,309,1948-04-01
Wakkanai,稚内市,Hokkaido,"37,911",760.83,49.8,1949-04-01
Bibai,美唄市,Hokkaido,"25,312",277.61,91.2,1950-04-01
Ashibetsu,芦別市,Hokkaido,"12,542",865.04,14.5,1953-04-01
Ebetsu,江別市,Hokkaido,"120,940",187.57,645,1954-07-01
Akabira,赤平市,Hokkaido,"9,453",129.88,72.8,1954-07-01
Monbetsu,紋別市,Hokkaido,"24,293",830.70,29.2,1954-07-01
Mikasa,三笠市,Hokkaido,"8,029",302.52,26.5,1957-04-01
Nemuro,根室市,Hokkaido,"28,923",512.63,56.4,1957-08-01
Chitose,千歳市,Hokkaido,"94,124",594.95,158,1958-07-01
Takikawa,滝川市,Hokkaido,"42,815",115.82,370,1958-07-01
Sunagawa,砂川市,Hokkaido,"16,283",78.68,207,1958-07-01
Utashinai,歌志内市,Hokkaido,"2,971",55.95,53.1,1958-07-01
Fukagawa,深川市,Hokkaido,"23,215",529.23,43.9,1963-05-01
Furano,富良野市,Hokkaido,"23,890",600.97,39.8,1966-05-01
Noboribetsu,登別市,Hokkaido,"51,474",212.11,243,1970-08-01
Eniwa,恵庭市,Hokkaido,"68,754",294.87,233,1970-11-01
Date,伊達市,Hokkaido,"36,461",444.28,82.1,1972-04-01
Kitahiroshima,北広島市,Hokkaido,"60,291",118.54,509,1996-09-01
Ishikari,石狩市,Hokkaido,"60,616",721.86,84.0,1996-09-01
Shibetsu,士別市,Hokkaido,"21,640","1,119.29",19.3,2005-09-01
Kushiro,釧路市,Hokkaido,"182,263","1,362.75",134,2005-10-11
Hokuto,北斗市,Hokkaido,"48,779",397.30,123,2006-02-01
Kitami,北見市,Hokkaido,"124,291","1,427.56",87.1,2006-03-05
Nayoro,名寄市,Hokkaido,"29,869",535.23,55.8,2006-03-27
Kobe,神戸市,Hyōgo,"1,524,601",552.23,"2,772",1889-04-01
Himeji,姫路市,Hyōgo,"536,170",534.27,"1,004",1889-04-01
Amagasaki,尼崎市,Hyōgo,"461,202",49.77,"9,267",1916-04-01
Akashi,明石市,Hyōgo,"292,162",49.24,"5,933",1919-11-01
Nishinomiya,西宮市,Hyōgo,"477,056",99.96,"4,772",1925-04-01
Ashiya,芦屋市,Hyōgo,"92,828",18.47,"5,026",1940-11-10
Itami,伊丹市,Hyōgo,"194,488",24.97,"7,789",1940-11-10
Aioi,相生市,Hyōgo,"31,973",90.45,353,1942-10-01
Toyooka,豊岡市,Hyōgo,"87,555",697.66,125,1950-04-01
Kakogawa,加古川市,Hyōgo,"267,631",138.51,"1,932",1950-06-15
AkoAkō,赤穂市,Hyōgo,"51,277",126.88,404,1951-09-01
Takarazuka,宝塚市,Hyōgo,"222,071",101.80,"2,181",1954-04-01
Miki,三木市,Hyōgo,"83,244",176.58,471,1954-06-01
Takasago,高砂市,Hyōgo,"94,198",34.40,"2,738",1954-07-01
Kawanishi,川西市,Hyōgo,"157,461",53.44,"2,947",1954-08-01
Ono,小野市,Hyōgo,"49,664",92.92,534,1954-12-01
Sanda,三田市,Hyōgo,"113,600",210.22,540,1958-07-01
Kasai,加西市,Hyōgo,"48,435",150.95,321,1967-04-01
Tamba-Sasayama,丹波篠山市,Hyōgo,"44,345",377.61,117,1999-04-01
Yabu,養父市,Hyōgo,"27,428",422.78,64.9,2004-04-01
Tamba,丹波市,Hyōgo,"69,233",493.28,140,2004-11-01
Minamiawaji,南あわじ市,Hyōgo,"51,069",229.18,223,2005-01-11
Asago,朝来市,Hyōgo,"34,084",402.98,84.6,2005-04-01
Awaji,淡路市,Hyōgo,"47,849",184.21,260,2005-04-01
ShisoShisō,宍粟市,Hyōgo,"42,302",658.60,64.2,2005-04-01
Nishiwaki,西脇市,Hyōgo,"43,126",132.47,326,2005-10-01
Tatsuno,たつの市,Hyōgo,"80,988",210.93,384,2005-10-01
Sumoto,洲本市,Hyōgo,"48,631",182.47,267,2006-02-11
KatoKatō,加東市,Hyōgo,"39,935",157.49,254,2006-03-20
Mito,水戸市,Ibaraki,"264,062",217.43,"1,214",1889-04-01
Hitachi,日立市,Ibaraki,"195,844",225.55,868,1939-09-01
Tsuchiura,土浦市,Ibaraki,"143,986",113.82,"1,265",1940-11-03
YukiYūki,結城市,Ibaraki,"52,065",65.84,791,1954-03-15
RyugasakiRyūgasaki,龍ヶ崎市,Ibaraki,"79,295",78.20,"1,014",1954-03-20
Shimotsuma,下妻市,Ibaraki,"45,918",80.88,568,1954-06-01
JosoJōsō,常総市,Ibaraki,"65,858",123.52,533,1954-07-10
HitachiotaHitachiōta,常陸太田市,Ibaraki,"58,461",372.01,157,1954-07-15
Takahagi,高萩市,Ibaraki,"32,031",193.65,165,1954-11-23
Kitaibaraki,北茨城市,Ibaraki,"48,437",186.55,260,1956-03-31
Toride,取手市,Ibaraki,"109,953",69.96,"1,572",1970-10-01
Ushiku,牛久市,Ibaraki,"79,254",58.88,"1,346",1986-06-01
Tsukuba,つくば市,Ibaraki,"207,314",284.07,730,1987-11-30
Hitachinaka,ひたちなか市,Ibaraki,"155,338",99.04,"1,568",1994-11-01
Kashima,鹿嶋市,Ibaraki,"65,193",92.96,701,1995-09-01
Itako,潮来市,Ibaraki,"31,103",62.67,496,2001-04-01
Moriya,守谷市,Ibaraki,"57,793",35.63,"1,622",2002-02-02
HitachiomiyaHitachiōmiya,常陸大宮市,Ibaraki,"46,729",348.38,134,2004-10-16
Naka,那珂市,Ibaraki,"54,618",97.80,558,2005-01-21
BandoBandō,坂東市,Ibaraki,"57,128",123.18,464,2005-03-22
Inashiki,稲敷市,Ibaraki,"48,125",178.12,270,2005-03-22
Chikusei,筑西市,Ibaraki,"110,813",205.35,540,2005-03-28
Kasumigaura,かすみがうら市,Ibaraki,"44,450",118.77,374,2005-03-28
Kamisu,神栖市,Ibaraki,"93,538",147.24,635,2005-08-01
Namegata,行方市,Ibaraki,"39,117",166.33,235,2005-09-02
Koga,古河市,Ibaraki,"144,392",123.58,"1,168",2005-09-12
Ishioka,石岡市,Ibaraki,"80,502",213.38,377,2005-10-01
Sakuragawa,桜川市,Ibaraki,"47,480",179.78,264,2005-10-01
Hokota,鉾田市,Ibaraki,"50,869",203.90,249,2005-10-11
Kasama,笠間市,Ibaraki,"80,646",240.27,336,2006-03-19
Tsukubamirai,つくばみらい市,Ibaraki,"41,957",79.14,530,2006-03-27
Omitama,小美玉市,Ibaraki,"52,834",140.21,377,2006-03-27
Kanazawa,金沢市,Ishikawa,"455,595",467.77,974,1889-04-01
Nonoichi,野々市市,Ishikawa,"51,976",13.56,"3,800",2011-11-11
Nanao,七尾市,Ishikawa,"60,140",317.96,189,1939-07-20
Komatsu,小松市,Ishikawa,"109,285",371.13,294,1940-12-01
Suzu,珠洲市,Ishikawa,"13,472",247.20,54.5,1954-07-15
Hakui,羽咋市,Ishikawa,"23,963",81.96,292,1958-07-01
Kahoku,かほく市,Ishikawa,"34,747",64.76,537,2004-03-01
Hakusan,白山市,Ishikawa,"110,563",755.17,146,2005-02-01
Nomi,能美市,Ishikawa,"48,106",83.85,574,2005-02-01
Kaga,加賀市,Ishikawa,"73,745",306.00,241,2005-10-01
Wajima,輪島市,Ishikawa,"31,532",426.25,74.0,2006-02-01
Morioka,盛岡市,Iwate,"299,746",886.47,338,1889-04-01
Kamaishi,釜石市,Iwate,"41,348",441.42,93.7,1937-05-05
OfunatoŌfunato,大船渡市,Iwate,"42,119",323.28,130,1952-04-01
Rikuzentakata,陸前高田市,Iwate,"23,961",232.29,103,1955-01-01
Kitakami,北上市,Iwate,"94,806",437.55,217,1991-04-01
Miyako,宮古市,Iwate,"58,342",696.82,83.7,2005-06-06
Hachimantai,八幡平市,Iwate,"29,993",862.25,34.8,2005-09-01
Ichinoseki,一関市,Iwate,"123,155","1,133.10",109,2005-09-20
TonoTōno,遠野市,Iwate,"30,587",825.62,37.0,2005-10-01
Hanamaki,花巻市,Iwate,"103,718",908.32,114,2006-01-01
Ninohe,二戸市,Iwate,"30,685",420.31,73.0,2006-01-01
OshuŌshū,奥州市,Iwate,"128,273",993.35,129,2006-02-20
Kuji,久慈市,Iwate,"37,824",623.14,60.7,2006-03-06
Takizawa,滝沢市,Iwate,"55,153",182.32,303,2014-01-01
Takamatsu,高松市,Kagawa,"418,557",375.11,"1,116",1890-02-15
Marugame,丸亀市,Kagawa,"110,550",111.79,989,1899-04-01
Sakaide,坂出市,Kagawa,"56,501",92.46,611,1942-07-01
ZentsujiZentsūji,善通寺市,Kagawa,"35,180",39.88,882,1954-03-31
Sanuki,さぬき市,Kagawa,"54,832",158.90,345,2002-04-01
Higashikagawa,東かがわ市,Kagawa,"34,953",153.35,228,2003-04-01
Kan'onji,観音寺市,Kagawa,"64,020",117.47,545,2005-10-11
Mitoyo,三豊市,Kagawa,"69,997",222.66,314,2006-01-01
Kagoshima,鹿児島市,Kagoshima,"605,196",547.06,"1,106",1889-04-01
Kanoya,鹿屋市,Kagoshima,"105,673",448.33,236,1941-05-27
Makurazaki,枕崎市,Kagoshima,"24,400",74.88,326,1949-09-01
Akune,阿久根市,Kagoshima,"24,166",134.30,180,1952-04-01
Izumi,出水市,Kagoshima,"56,851",330.06,172,1954-04-01
Ibusuki,指宿市,Kagoshima,"45,455",149.01,305,1954-04-01
Minamisatsuma,南さつま市,Kagoshima,"40,386",283.35,143,1954-07-15
Nishinoomote,西之表市,Kagoshima,"14,809",205.66,72.0,1958-10-01
Tarumizu,垂水市,Kagoshima,"18,078",162.01,112,1958-10-01
Satsumasendai,薩摩川内市,Kagoshima,"100,730",683.50,147,2004-10-12
Hioki,日置市,Kagoshima,"51,472",253.06,203,2005-05-01
Soo,曽於市,Kagoshima,"41,179",390.39,105,2005-07-01
Ichikikushikino,いちき串木野市,Kagoshima,"32,079",112.04,286,2005-10-11
Kirishima,霧島市,Kagoshima,"127,726",603.68,212,2005-11-07
Shibushi,志布志市,Kagoshima,"34,105",289.93,118,2006-01-01
Amami,奄美市,Kagoshima,"48,116",306.20,157,2006-03-20
MinamikyushuMinamikyūshū,南九州市,Kagoshima,"40,891",357.85,114,2007-12-01
Isa,伊佐市,Kagoshima,"30,070",392.36,76.64,2008-11-01
Aira,姶良市,Kagoshima,"74,611",231.32,323,2010-03-23
Yokohama,横浜市,Kanagawa,"3,732,616",437.38,"8,500",1889-04-01
Yokosuka,横須賀市,Kanagawa,"421,397",100.68,"4,186",1907-02-15
Kawasaki,川崎市,Kanagawa,"1,531,646",142.70,"9,626",1924-07-01
Hiratsuka,平塚市,Kanagawa,"260,419",67.83,"3,839",1932-04-01
Kamakura,鎌倉市,Kanagawa,"173,588",39.60,"4,384",1939-11-03
Fujisawa,藤沢市,Kanagawa,"402,628",69.51,"5,792",1940-10-01
Odawara,小田原市,Kanagawa,"198,841",114.09,"1,743",1940-12-20
Chigasaki,茅ヶ崎市,Kanagawa,"231,005",35.71,"6,469",1947-10-01
Zushi,逗子市,Kanagawa,"58,654",17.34,"3,383",1954-04-15
Sagamihara,相模原市,Kanagawa,"723,470",328.84,"2,148",1954-11-20
Miura,三浦市,Kanagawa,"49,371",32.28,"1,529",1955-01-01
Hadano,秦野市,Kanagawa,"169,201",103.61,"1,633",1955-01-01
Atsugi,厚木市,Kanagawa,"225,163",93.83,"2,400",1955-02-01
Yamato,大和市,Kanagawa,"223,127",27.06,"8,246",1959-02-01
Isehara,伊勢原市,Kanagawa,"100,779",55.52,"1,815",1971-03-01
Ebina,海老名市,Kanagawa,"126,035",26.48,"4,760",1971-11-01
Zama,座間市,Kanagawa,"127,582",17.58,"7,257",1971-11-01
Minamiashigara,南足柄市,Kanagawa,"44,285",76.93,576,1972-04-01
Ayase,綾瀬市,Kanagawa,"82,083",22.28,"3,684",1978-11-01
KochiKōchi,高知市,Kōchi,"342,944",309.22,"1,109",1889-04-01
Sukumo,宿毛市,Kōchi,"23,771",286.11,83.1,1954-03-31
Aki,安芸市,Kōchi,"20,555",317.34,64.8,1954-08-01
