branch_name,phone_number,address,region,地域名,支店名,支店詳細URL
いわき営業所 【取引店コード：N24】,(0246)30-1111,"〒970-8026

福島県いわき市平字田町120番地 ラトブ7F",福島県,東北,いわき営業所,https://www.nomura.co.jp/branch/branch/iwaki.html
郡山支店 【取引店コード：N24】,"(024)923-8711
自動音声応答サービスによる受付です","〒963-8002

福島県郡山市駅前2-5-12(郡山駅前)",福島県,東北,郡山支店,https://www.nomura.co.jp/branch/branch/kooriyam.html
福島支店 【取引店コード：N44】,"(024)522-2111
自動音声応答サービスによる受付です","〒960-8041

福島県福島市大町4-1",福島県,東北,福島支店,https://www.nomura.co.jp/branch/branch/fukushima.html
本店エグゼクティブ・コンサルティング部 【取引店コード：N01】,(03)6739-2424,"〒160-0022

東京都新宿区新宿5-17-9",東京都,関東,本店エグゼクティブ・コンサルティング部,https://www.nomura.co.jp/branch/branch/h_kmanage2.html
本店営業部 【取引店コード：N08、N19、N23、N25、N30、165、172、207】,"(03)3272-8888
自動音声応答サービスによる受付です","〒103-0027

東京都中央区日本橋1-13-1（日鉄日本橋ビル5階）",東京都,関東,本店営業部,https://www.nomura.co.jp/branch/branch/h_eigyou.html
本店 法人営業 【取引店コード：N05】,(03)3272-3051,"〒103-0027

東京都中央区日本橋1-13-1（日鉄日本橋ビル8階）",東京都,関東,本店 法人営業,https://www.nomura.co.jp/branch/branch/nihon_houjin.html
品川支店 【取引店コード：229、209】,"(03)3769-6651
自動音声応答サービスによる受付です","〒108-0075

東京都港区港南2-16-1(品川イーストワンタワー2階)",東京都,関東,品川支店,https://www.nomura.co.jp/branch/branch/shinagawa.html
新宿支店 【取引店コード：N27、201、203、233、264】,"(03)6832-0900
自動音声応答サービスによる受付です","〒160-0022

東京都新宿区新宿5-17-9",東京都,関東,新宿支店,https://www.nomura.co.jp/branch/branch/shinjuku.html
自由が丘支店 【取引店コード：N31、715】,"(03)3718-3371
自動音声応答サービスによる受付です","〒152-0035

東京都目黒区自由が丘2-10-9(自由が丘駅前)",東京都,関東,自由が丘支店,https://www.nomura.co.jp/branch/branch/jiyuugaoka.html
大森支店 【取引店コード：N15、N29】,"(03)3774-1181
自動音声応答サービスによる受付です","〒143-0023

東京都大田区山王2-5-10(大森ララビル前)",東京都,関東,大森支店,https://www.nomura.co.jp/branch/branch/oomori.html
渋谷支店 【取引店コード：N32、202、283】,"(03)3400-7111
自動音声応答サービスによる受付です","〒150-0002

東京都渋谷区渋谷1-14-16（JR渋谷駅東口　地下鉄B3出口すぐ）",東京都,関東,渋谷支店,https://www.nomura.co.jp/branch/branch/shibuya.html
荻窪支店 【取引店コード：309】,"(03)3392-6011
自動音声応答サービスによる受付です","〒167-0043

東京都杉並区上荻1-8-8(荻窪駅北口前)",東京都,関東,荻窪支店,https://www.nomura.co.jp/branch/branch/ogikubo.html
池袋支店 【取引店コード：N20、304、262】,"(03)3983-1111
自動音声応答サービスによる受付です","〒170-0013

東京都豊島区東池袋1-18-1（ハレザタワー26階）",東京都,関東,池袋支店,https://www.nomura.co.jp/branch/branch/ikebukuro.html
小岩支店 【取引店コード：N22、272】,"(03)3657-1141
自動音声応答サービスによる受付です","〒133-0056

東京都江戸川区南小岩7-24-20(ファスタワン9階)",東京都,関東,小岩支店,https://www.nomura.co.jp/branch/branch/koiwa.html
吉祥寺支店 【取引店コード：N21、299】,"(0422)22-8181
自動音声応答サービスによる受付です","〒180-0004

東京都武蔵野市吉祥寺本町2-2-16(吉祥寺通りパルコ前)",東京都,関東,吉祥寺支店,https://www.nomura.co.jp/branch/branch/kichijoji.html
立川支店 【取引店コード：N18、263】,"(042)524-1111
自動音声応答サービスによる受付です","〒190-0012

東京都立川市曙町2-5-1（JR立川駅北口・伊勢丹ビル内）",東京都,関東,立川支店,https://www.nomura.co.jp/branch/branch/tachikawa.html
調布支店 【取引店コード：213、265】,"(042)498-6011
自動音声応答サービスによる受付です","〒182-0024

東京都調布市布田4-6-1（調布丸善ビル8階）",東京都,関東,調布支店,https://www.nomura.co.jp/branch/branch/chofu.html
八王子支店 【取引店コード：308】,"(042)646-3811
自動音声応答サービスによる受付です","〒192-0083

東京都八王子市旭町11-6(JR八王子駅北口)",東京都,関東,八王子支店,https://www.nomura.co.jp/branch/branch/hachioji.html
町田支店 【取引店コード：208、240、273】,"(042)725-2111
自動音声応答サービスによる受付です","〒194-0013

東京都町田市原町田6-3-9(小田急線町田駅南口、東急横)",東京都,関東,町田支店,https://www.nomura.co.jp/branch/branch/machida.html
浦和支店 【取引店コード：N12】,"(048)833-1881
自動音声応答サービスによる受付です","〒330-0063

埼玉県さいたま市浦和区高砂2-13-8(中山道・玉蔵院前)",埼玉県,関東,浦和支店,https://www.nomura.co.jp/branch/branch/urawa.html
川口支店 【取引店コード：305】,"(048)256-3811
自動音声応答サービスによる受付です","〒332-0017

埼玉県川口市栄町3-10-1（旧そごう川口店東）",埼玉県,関東,川口支店,https://www.nomura.co.jp/branch/branch/kawaguch.html
川越支店 【取引店コード：306】,"(049)225-5151
自動音声応答サービスによる受付です","〒350-1122

埼玉県川越市脇田町105(川越駅東口・アトレビル)",埼玉県,関東,川越支店,https://www.nomura.co.jp/branch/branch/kawagoe.html
熊谷支店 【取引店コード：269】,"(048)529-5111
自動音声応答サービスによる受付です","〒360-0037

埼玉県熊谷市筑波3-202（ティアラ21　1階）",埼玉県,関東,熊谷支店,https://www.nomura.co.jp/branch/branch/kumagaya.html
越谷支店 【取引店コード：276】,"(048)960-2811
自動音声応答サービスによる受付です","〒343-0816

埼玉県越谷市弥生町16-1 越谷ツインシティBシティ 2階",埼玉県,関東,越谷支店,https://www.nomura.co.jp/branch/branch/koshigaya.html
さいたま支店 【取引店コード：N33、252】,"(048)641-8111
自動音声応答サービスによる受付です","〒330-0846

埼玉県さいたま市大宮区大門町3-71-2",埼玉県,関東,さいたま支店,https://www.nomura.co.jp/branch/branch/saitama.html
所沢支店 【取引店コード：219】,"(04)2923-3811
自動音声応答サービスによる受付です","〒359-1123

埼玉県所沢市日吉町15-14（所沢第一生命ビルディング3階）",埼玉県,関東,所沢支店,https://www.nomura.co.jp/branch/branch/tokorozawa.html
柏支店 【取引店コード：N16】,"(04)7163-2011
自動音声応答サービスによる受付です","〒277-0005

千葉県柏市柏1-4-26(柏駅東口駅前通り)",千葉県,関東,柏支店,https://www.nomura.co.jp/branch/branch/kashiwa.html
千葉支店 【取引店コード：407】,"(043)227-2161
自動音声応答サービスによる受付です","〒260-0015

千葉県千葉市中央区富士見1-14-13（JR千葉駅東口徒歩5分）",千葉県,関東,千葉支店,https://www.nomura.co.jp/branch/branch/chiba.html
船橋支店 【取引店コード：405】,"(047)433-2211
自動音声応答サービスによる受付です","〒273-0005

千葉県船橋市本町2-1-33",千葉県,関東,船橋支店,https://www.nomura.co.jp/branch/branch/funabashi.html
松戸支店 【取引店コード：N38】,"(047)362-1221
自動音声応答サービスによる受付です","〒271-0092

千葉県松戸市松戸1281-29(松戸駅西口)",千葉県,関東,松戸支店,https://www.nomura.co.jp/branch/branch/matsudo.html
厚木支店 【取引店コード：204】,"(046)224-8666
自動音声応答サービスによる受付です","〒243-0018

神奈川県厚木市中町2-2-20(小田急線本厚木駅北口・有隣堂前)",神奈川,関東,厚木支店,https://www.nomura.co.jp/branch/branch/atsugi.html
小田原支店 【取引店コード：266】,"(0465)24-8511
自動音声応答サービスによる受付です","〒250-0011

神奈川県小田原市栄町1-6-1（第一生命ビル1階）",神奈川,関東,小田原支店,https://www.nomura.co.jp/branch/branch/odawara.html
川崎支店 【取引店コード：N35、288、719】,"(044)233-6751
自動音声応答サービスによる受付です","〒210-8604

神奈川県川崎市川崎区東田町5-2(川崎市役所前)",神奈川,関東,川崎支店,https://www.nomura.co.jp/branch/branch/kawasaki.html
たまプラーザ支店 【取引店コード：N13、258】,"(045)902-1122
自動音声応答サービスによる受付です","〒225-0002

神奈川県横浜市青葉区美しが丘5-1-2",神奈川,関東,たまプラーザ支店,https://www.nomura.co.jp/branch/branch/tamaplaza.html
戸塚支店 【取引店コード：241】,"(045)881-1181
自動音声応答サービスによる受付です","〒244-0816

神奈川県横浜市戸塚区上倉田町489-1(戸塚駅東口・吉倉橋際)",神奈川,関東,戸塚支店,https://www.nomura.co.jp/branch/branch/totsuka.html
平塚支店 【取引店コード：409】,"(0463)21-2111
自動音声応答サービスによる受付です","〒254-0811

神奈川県平塚市八重咲町3-3（JAビルかながわ2F）",神奈川,関東,平塚支店,https://www.nomura.co.jp/branch/branch/hiratsuka.html
藤沢支店 【取引店コード：408、287】,"(0466)25-1311
自動音声応答サービスによる受付です","〒251-0025

神奈川県藤沢市鵠沼石上1-5-10(藤沢駅南口)",神奈川,関東,藤沢支店,https://www.nomura.co.jp/branch/branch/fujisawa.html
横須賀支店 【取引店コード：404】,"(046)823-2550
自動音声応答サービスによる受付です","〒238-0008

神奈川県横須賀市大滝町1-9（大滝町バス停前）",神奈川,関東,横須賀支店,https://www.nomura.co.jp/branch/branch/yokosuka.html
横浜支店 【取引店コード：403、N36】,"(045)311-1671
自動音声応答サービスによる受付です","〒220-0004

神奈川県横浜市西区北幸1-5-10",神奈川,関東,横浜支店,https://www.nomura.co.jp/branch/branch/yokohama.html
つくば支店 【取引店コード：238】,"(029)844-0011
自動音声応答サービスによる受付です","〒305-0817

茨城県つくば市研究学園5丁目19番（イーアスつくば1F）",茨城県,関東,つくば支店,https://www.nomura.co.jp/branch/branch/tsukuba.html
水戸支店 【取引店コード：N34】,"(029)224-5231
自動音声応答サービスによる受付です","〒310-0021

茨城県水戸市南町3-4-14（明治安田生命水戸南町ビル）",茨城県,関東,水戸支店,https://www.nomura.co.jp/branch/branch/mito.html
宇都宮支店 【取引店コード：N77】,"(028)636-2181
自動音声応答サービスによる受付です","〒320-0026

栃木県宇都宮市馬場通り2-1-1",栃木県,関東,宇都宮支店,https://www.nomura.co.jp/branch/branch/utsunomiya.html
太田支店 【取引店コード：268】,"(0276)30-1533
自動音声応答サービスによる受付です","〒373-0853

群馬県太田市浜町3-1",群馬県,関東,太田支店,https://www.nomura.co.jp/branch/branch/oota.html
高崎支店 【取引店コード：N37】,"(027)323-9111
自動音声応答サービスによる受付です","〒370-0849

群馬県高崎市八島町58-1(JR高崎駅西口 ウエスト・ワンビル)",群馬県,関東,高崎支店,https://www.nomura.co.jp/branch/branch/takasaki.html
甲府支店 【取引店コード：302】,"(055)237-1781
自動音声応答サービスによる受付です","〒400-0031

山梨県甲府市丸の内1-17-10（東武穴水ビル・甲府市役所隣）",山梨県,関東,甲府支店,https://www.nomura.co.jp/branch/branch/koufu.html
長野支店 【取引店コード：401】,"(026)228-1811
自動音声応答サービスによる受付です","〒380-8640

長野県長野市南長野末広町1361(長野駅前)",長野県,中部,長野支店,https://www.nomura.co.jp/branch/branch/nagano.html
松本支店 【取引店コード：249】,"(0263)33-6781
自動音声応答サービスによる受付です","〒390-0811

長野県松本市中央2-1-34(松本駅前通り)",長野県,中部,松本支店,https://www.nomura.co.jp/branch/branch/matsumoto.html
岐阜支店 【取引店コード：N58】,"(058)262-3101
自動音声応答サービスによる受付です","〒500-8833

岐阜県岐阜市神田町7-15（長良橋通り）",岐阜県,中部,岐阜支店,https://www.nomura.co.jp/branch/branch/gifu.html
静岡支店 【取引店コード：N55】,"(054)254-6151
自動音声応答サービスによる受付です","〒420-0857

静岡県静岡市葵区御幸町6-6",静岡県,中部,静岡支店,https://www.nomura.co.jp/branch/branch/shizuoka.html
沼津支店 【取引店コード：N59】,"(055)962-4444
自動音声応答サービスによる受付です","〒410-0801

静岡県沼津市大手町3-4-21(沼津駅前通り)",静岡県,中部,沼津支店,https://www.nomura.co.jp/branch/branch/numazu.html
浜松支店 【取引店コード：N57】,"(053)454-3151
自動音声応答サービスによる受付です","〒430-0944

静岡県浜松市中央区田町330-5(田町中央通りバス停前・遠鉄田町ビル)",静岡県,中部,浜松支店,https://www.nomura.co.jp/branch/branch/hamamatsu.html
岡崎支店 【取引店コード：N52】,"(0564)23-1811
自動音声応答サービスによる受付です","〒444-0059

愛知県岡崎市康生通西2-11",愛知県,中部,岡崎支店,https://www.nomura.co.jp/branch/branch/okazaki.html
豊田支店 【取引店コード：307】,"(0565)33-1300
自動音声応答サービスによる受付です","〒471-0025

愛知県豊田市西町1-200(とよた参合館1階)",愛知県,中部,豊田支店,https://www.nomura.co.jp/branch/branch/toyota.html
豊橋支店 【取引店コード：N51】,"(0532)53-1121
自動音声応答サービスによる受付です","〒440-0888

愛知県豊橋市駅前大通1-38(豊橋駅前)",愛知県,中部,豊橋支店,https://www.nomura.co.jp/branch/branch/toyohashi.html
名古屋駅前支店 【取引店コード：N53、271、278】,"(052)561-5251
自動音声応答サービスによる受付です","〒450-6203

愛知県名古屋市中村区名駅4-7-1(ミッドランドスクエア3階)",愛知県,中部,名古屋駅前支店,https://www.nomura.co.jp/branch/branch/nagoya_e.html
名古屋金融公共法人部 【取引店コード：514】,(052)204-6270,"〒460-8689

愛知県名古屋市中区錦2-19-22(地下鉄伏見駅下車・広小路本町バス停前)",愛知県,中部,名古屋金融公共法人部,https://www.nomura.co.jp/branch/branch/nagoya_kinyu.html
本店エグゼクティブ・コンサルティング部 名古屋 【取引店コード：513】,(052)307-7926,"〒448-0028

愛知県刈谷市桜町1-10-2第一セントラルビル",愛知県,中部,本店エグゼクティブ・コンサルティング部 名古屋,https://www.nomura.co.jp/branch/branch/h_ec_n.html
名古屋支店営業部 【取引店コード：512、550、N54】,"(052)201-2310
自動音声応答サービスによる受付です","〒460-8689

愛知県名古屋市中区錦2-19-22(地下鉄伏見駅3番出口より栄方面へ徒歩5分／広小路本町バス停前)",愛知県,中部,名古屋支店営業部,https://www.nomura.co.jp/branch/branch/n_eigyou.html
津支店 【取引店コード：237】,"(059)223-2111
自動音声応答サービスによる受付です","〒514-0009

三重県津市羽所町371(津駅前)",三重県,中部,津支店,https://www.nomura.co.jp/branch/branch/tsu.html
四日市支店 【取引店コード：N75】,"(059)353-2141
自動音声応答サービスによる受付です","〒510-0086

三重県四日市市諏訪栄町1-15(国道一号線沿い)",三重県,中部,四日市支店,https://www.nomura.co.jp/branch/branch/yokkaichi.html
新潟支店 【取引店コード：N46】,"(025)225-7777
自動音声応答サービスによる受付です","〒951-8068

新潟県新潟市中央区上大川前通六番町1215-7",新潟県,北陸,新潟支店,https://www.nomura.co.jp/branch/branch/niigata.html
富山支店 【取引店コード：N49】,"(076)421-7561
自動音声応答サービスによる受付です","〒930-0046

富山県富山市堤町通り1-4-3(西町交差点)",富山県,北陸,富山支店,https://www.nomura.co.jp/branch/branch/toyama.html
金沢支店 【取引店コード：N48】,"(076)221-3145
自動音声応答サービスによる受付です","〒920-0869

石川県金沢市上堤町3-21",石川県,北陸,金沢支店,https://www.nomura.co.jp/branch/branch/kanazawa.html
福井法人部 【取引店コード：N56】,(076)203-6520（注）,"〒920-0869

石川県金沢市上堤町3-21",石川県,北陸,福井法人部,https://www.nomura.co.jp/branch/branch/fukui.html
大津支店 【取引店コード：702】,"(077)526-3131
自動音声応答サービスによる受付です","〒520-0046

滋賀県大津市長等3-1-27(京阪京津線浜大津上る)",滋賀県,近畿,大津支店,https://www.nomura.co.jp/branch/branch/ootsu.html
京都支店 【取引店コード：N70】,"(075)221-7211
自動音声応答サービスによる受付です","〒600-8006

京都府京都市下京区四条通堺町角",京都府,近畿,京都支店,https://www.nomura.co.jp/branch/branch/kyoto.html
梅田支店 【取引店コード：N62、N66、236、257、292、717】,"(06)6313-3431
自動音声応答サービスによる受付です","〒530-0018

大阪府大阪市北区小松原町2-4 大阪富国生命ビル7階",大阪府,近畿,梅田支店,https://www.nomura.co.jp/branch/branch/umeda.html
大阪金融公共法人部 【取引店コード：609】,(06)6201-1060,"〒540-8604

大阪市中央区平野町3-5-12",大阪市,近畿,大阪金融公共法人部,https://www.nomura.co.jp/branch/branch/oosaka_kinyu.html
本店エグゼクティブ・コンサルティング部 大阪 【取引店コード：607】,(06)6201-0790,"〒540-8604

大阪市中央区平野町3-5-12",大阪市,近畿,本店エグゼクティブ・コンサルティング部 大阪,https://www.nomura.co.jp/branch/branch/h_ec_o.html
大阪支店営業部 【取引店コード：612、660、613】,"(06)6222-1533（支店番号：612、660）
自動音声応答サービスによる受付です","〒540-8604

大阪府大阪市中央区平野町3-5-12",大阪府,近畿,大阪支店営業部,https://www.nomura.co.jp/branch/branch/o_eigyou.html
堺支店 【取引店コード：N69】,"(072)221-9241
自動音声応答サービスによる受付です","〒590-0028

大阪府堺市堺区三国ヶ丘御幸通59(南海高野線堺東駅ビル1階)",大阪府,近畿,堺支店,https://www.nomura.co.jp/branch/branch/sakai.html
高槻支店 【取引店コード：N71、286】,"(072)681-2111
自動音声応答サービスによる受付です","〒569-0804

大阪府高槻市紺屋町3-1-101(JR高槻駅南口前・松坂屋横)",大阪府,近畿,高槻支店,https://www.nomura.co.jp/branch/branch/takatsuki.html
天王寺支店 【取引店コード：701】,"(06)7730-2800
自動音声応答サービスによる受付です","〒545-0052

大阪府大阪市阿倍野区阿倍野筋1-6-1 （キューズモール4階）",大阪府,近畿,天王寺支店,https://www.nomura.co.jp/branch/branch/tennouji.html
なんば支店 【取引店コード：N68、N61、N67、251】,"(06)6632-5081
自動音声応答サービスによる受付です","〒542-0076

大阪府大阪市中央区難波5-1-60(なんばスカイオ21階)",大阪府,近畿,なんば支店,https://www.nomura.co.jp/branch/branch/nanba.html
枚方支店 【取引店コード：N63】,"(072)846-2511
自動音声応答サービスによる受付です","〒573-0032

大阪府枚方市岡東町5-15（京阪枚方市駅南）",大阪府,近畿,枚方支店,https://www.nomura.co.jp/branch/branch/hirakata.html
神戸支店 【取引店コード：N73、260、280】,"(078)321-2201
自動音声応答サービスによる受付です","〒650-0021

兵庫県神戸市中央区三宮町1-5-32(三宮センター街東入口)",兵庫県,近畿,神戸支店,https://www.nomura.co.jp/branch/branch/kobe.html
西宮支店 【取引店コード：N64、714】,"(0798)64-8181
自動音声応答サービスによる受付です","〒663-8204

兵庫県西宮市高松町8-25(阪急西宮ガーデンズ プラス館7階)",兵庫県,近畿,西宮支店,https://www.nomura.co.jp/branch/branch/nishinomiy.html
姫路支店 【取引店コード：N74】,"(079)222-6101
自動音声応答サービスによる受付です","〒670-0902

兵庫県姫路市白銀町18(大手前通り)",兵庫県,近畿,姫路支店,https://www.nomura.co.jp/branch/branch/himeji.html
奈良支店 【取引店コード：N72、281】,"(0742)22-0351
自動音声応答サービスによる受付です","〒630-8227

奈良県奈良市林小路町45(やすらぎの道)",奈良県,近畿,奈良支店,https://www.nomura.co.jp/branch/branch/nara.html
和歌山支店 【取引店コード：N76】,"(073)431-2111
自動音声応答サービスによる受付です","〒640-8152

和歌山県和歌山市十番丁9-2",和歌山,近畿,和歌山支店,https://www.nomura.co.jp/branch/branch/wakayama.html
鳥取島根法人部 【取引店コード：N81、N82】,(0859)60-9071（注）,"〒683-0812

鳥取県米子市角盤町二丁目50番　米子中央ビル4階",鳥取県,中国,鳥取島根法人部,https://www.nomura.co.jp/branch/branch/tottori.html
岡山支店 【取引店コード：N80】,"(086)224-1181
自動音声応答サービスによる受付です","〒700-8640

岡山県岡山市北区錦町6-24(イオンモール岡山向い)",岡山県,中国,岡山支店,https://www.nomura.co.jp/branch/branch/okayama.html
倉敷支店 【取引店コード：215】,"(086)421-1511
自動音声応答サービスによる受付です","〒710-0055

岡山県倉敷市阿知1-5-17",岡山県,中国,倉敷支店,https://www.nomura.co.jp/branch/branch/kurashiki.html
広島支店 【取引店コード：N83】,"(082)247-4131
自動音声応答サービスによる受付です","〒730-0032

広島県広島市中区立町2-23(立町電停西)",広島県,中国,広島支店,https://www.nomura.co.jp/branch/branch/hiroshima.html
福山支店 【取引店コード：N79】,"(084)921-3111
自動音声応答サービスによる受付です","〒720-0065

広島県福山市東桜町3-1(福山駅前大通り)",広島県,中国,福山支店,https://www.nomura.co.jp/branch/branch/fukuyama.html
下関支店 【取引店コード：N93】,"(083)231-3211
自動音声応答サービスによる受付です","〒750-8691

山口県下関市細江町1-3-15",山口県,中国,下関支店,https://www.nomura.co.jp/branch/branch/shimonose.html
徳山支店 【取引店コード：N84】,"(0834)22-0811
自動音声応答サービスによる受付です","〒745-0036

山口県周南市本町1-3(徳山駅前)",山口県,中国,徳山支店,https://www.nomura.co.jp/branch/branch/tokuyama.html
徳島法人部 【取引店コード：N85】,(087)883-6800（注）,"〒760-0025

香川県高松市古新町10-5",香川県,四国,徳島法人部,https://www.nomura.co.jp/branch/branch/tokushima.html
高松支店 【取引店コード：N86】,"(087)851-4111
自動音声応答サービスによる受付です","〒760-0025

香川県高松市古新町10-5(リーガホテルゼスト高松東隣)",香川県,四国,高松支店,https://www.nomura.co.jp/branch/branch/takamatsu.html
松山支店 【取引店コード：N87】,"(089)941-0131
自動音声応答サービスによる受付です","〒790-0011

愛媛県松山市千舟町5-7-3(市駅前・千舟町通り)",愛媛県,四国,松山支店,https://www.nomura.co.jp/branch/branch/matsuyam.html
高知支店 【取引店コード：N88】,"(088)823-3311
自動音声応答サービスによる受付です","〒780-0822

高知県高知市はりまや町1-2-6(高知大丸東隣)",高知県,四国,高知支店,https://www.nomura.co.jp/branch/branch/kouchi.html
北九州支店 【取引店コード：N94】,"(093)521-7581
自動音声応答サービスによる受付です","〒802-0002

福岡県北九州市小倉北区京町3-1-1",福岡県,九州・沖縄,北九州支店,https://www.nomura.co.jp/branch/branch/kitakyushu.html
久留米支店 【取引店コード：N92】,"(0942)33-7151
自動音声応答サービスによる受付です","〒830-0017

福岡県久留米市日吉町24-18(日吉町バス停前)",福岡県,九州・沖縄,久留米支店,https://www.nomura.co.jp/branch/branch/kurume.html
福岡支店 【取引店コード：N90】,"(092)771-3111
自動音声応答サービスによる受付です","〒810-0073

福岡県福岡市中央区舞鶴3-9-39(福岡舞鶴スクエア7階)",福岡県,九州・沖縄,福岡支店,https://www.nomura.co.jp/branch/branch/fukuoka.html
佐賀支店 【取引店コード：N95】,"(0952)22-7111
自動音声応答サービスによる受付です","〒840-0816

佐賀県佐賀市駅南本町3-15(明治安田生命ビル内)",佐賀県,九州・沖縄,佐賀支店,https://www.nomura.co.jp/branch/branch/saga.html
佐世保支店 【取引店コード：270】,"(0956)37-0531
自動音声応答サービスによる受付です","〒857-0806

長崎県佐世保市島瀬町7-20（島瀬町バス停前）",長崎県,九州・沖縄,佐世保支店,https://www.nomura.co.jp/branch/branch/sasebo.html
長崎支店 【取引店コード：N91】,"(095)821-1161
自動音声応答サービスによる受付です","〒850-0042

長崎県長崎市御船蔵町2-3(長崎駅前電気ビル5階)",長崎県,九州・沖縄,長崎支店,https://www.nomura.co.jp/branch/branch/nagasaki.html
熊本支店 【取引店コード：N97】,"(096)352-3181
自動音声応答サービスによる受付です","〒860-8604

熊本県熊本市中央区花畑町12-30",熊本県,九州・沖縄,熊本支店,https://www.nomura.co.jp/branch/branch/kumamoto.html
大分法人部 【取引店コード：N78】,(092)510-7910（注）,"〒810-0073

福岡県福岡市中央区舞鶴3-9-39(福岡舞鶴スクエア7階)",福岡県,九州・沖縄,大分法人部,https://www.nomura.co.jp/branch/branch/ooita.html
宮崎支店 【取引店コード：501】,"(0985)24-7191
自動音声応答サービスによる受付です","〒880-8691

宮崎県宮崎市橘通東4-1-2(デパート前)",宮崎県,九州・沖縄,宮崎支店,https://www.nomura.co.jp/branch/branch/miyazaki.html
鹿児島支店 【取引店コード：N96】,"(099)226-8141
自動音声応答サービスによる受付です","〒892-0842

鹿児島県鹿児島市東千石町1-38鹿児島商工会議所ビル（アイムビル）2階",鹿児島,九州・沖縄,鹿児島支店,https://www.nomura.co.jp/branch/branch/kagoshima.html
那覇支店 【取引店コード：230】,"(098)864-2471
自動音声応答サービスによる受付です","〒900-0032

沖縄県那覇市松山1-1-19(JPR那覇ビル)",沖縄県,九州・沖縄,那覇支店,https://www.nomura.co.jp/branch/branch/naha.html
