地区名,支店名,支店詳細URL,電話番号,郵便番号,住所
関東地区（東京除く）,川崎支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=083,044-244-2121 ; 050-3194-0083 ; ,210-0007,神奈川県川崎市川崎区駅前本町12-1川崎駅前タワー・リバーク　9階
関東地区（東京除く）,武蔵小杉営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=972,044-577-2530 ; 050-3194-1011 ; ,211-0005,神奈川県川崎市中原区新丸子町915番地武蔵小杉フコク生命ビル2階
関東地区（東京除く）,鶴見営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=903,044-577-2540 ; 050-3194-1064 ; ,230-0062,神奈川県横浜市鶴見区豊岡町17-2互省ビル　5階
関東地区（東京除く）,向ヶ丘遊園営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=995,03-4416-3260 ; 050-3194-1030 ; ,214-0014,神奈川県川崎市多摩区登戸2043番地小田急マルシェ向ヶ丘2 3階
関東地区（東京除く）,藤沢支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=084,0466-23-8111 ; 050-3194-0084 ; ,251-0052,神奈川県藤沢市藤沢462日本生命藤沢駅前ビル2階
関東地区（東京除く）,鎌倉支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=085,0467-23-1616 ; 050-3194-0085 ; ,248-0006,神奈川県鎌倉市小町1-4-10
関東地区（東京除く）,厚木支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=068,046-224-8111 ; 050-3194-0068 ; ,243-0018,神奈川県厚木市中町3-13-4オリオンヒルズ2階
関東地区（東京除く）,秦野営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=938,046-207-2777 ; 050-3194-1062 ; ,257-0034,神奈川県秦野市大秦町1-10秦野アルファビル　1階
関東地区（東京除く）,茅ヶ崎支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=091,0467-58-6111 ; 050-3194-0091 ; ,253-0043,神奈川県茅ヶ崎市元町2-4山鉄ビル4階
関東地区（東京除く）,横須賀支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=076,046-821-1800 ; 050-3194-0076 ; ,238-0008,神奈川県横須賀市大滝町2-6LIDRE(リドレ）横須賀1階
関東地区（東京除く）,相模原営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=125,042-719-3590 ; 050-3194-0125 ; ,252-0231,神奈川県相模原市中央区相模原1-2-17クリスタルサガミハラ　2階
関東地区（東京除く）,青葉台営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=122,03-4586-5080 ; 050-3194-0122 ; ,227-0062,神奈川県横浜市青葉区青葉台1-7-1青葉台東急スクエアSouth-2 ７階
関東地区（東京除く）,鷺沼営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=969,03-4586-5270 ; 050-3194-1008 ; ,216-0004,神奈川県川崎市宮前区鷺沼3-5-28アグリアス鷺沼1階
東京地区（23区）,本店,https://www.daiwa.jp/event/app/brc_info?siten_cd=010,03-5555-7555 ; 050-3194-0010 ; ,100-6755,東京都千代田区丸の内1丁目9番1号グラントウキョウ　ノースタワー18階(東京駅八重洲北口)
東京地区（23区）,銀座支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=057,03-3572-2801 ; 050-3194-0057 ; ,104-0061,東京都中央区銀座6-10-1GINZA　SIX　オフィス棟７F
東京地区（23区）,新宿支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=050,03-5334-9200 ; 050-3194-0050 ; ,151-0053,東京都渋谷区代々木2-2-1小田急サザンタワー13階
東京地区（23区）,阿佐ヶ谷営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=994,03-4316-7520 ; 050-3194-1029 ; ,166-0004,東京都杉並区阿佐谷南3-31-13稲葉ビル2階
東京地区（23区）,上野支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=037,03-3832-0191 ; 050-3194-0037 ; ,110-8515,東京都台東区上野2-13-10
東京地区（23区）,亀有営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=905,03-4213-7788 ; 050-3194-1066 ; ,125-0061,東京都葛飾区亀有3-26-1リリオ館6階
東京地区（23区）,亀戸支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=039,03-3681-3181 ; 050-3194-0039 ; ,136-0071,東京都江東区亀戸2-22-17日本生命亀戸ビル２階
東京地区（23区）,新小岩営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=976,03-4431-8380 ; 050-3194-1015 ; ,124-0025,東京都葛飾区西新小岩1-9-7ガルデニア福島2階
東京地区（23区）,五反田支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=041,03-3493-1211 ; 050-3194-0041 ; ,141-8504,東京都品川区西五反田1-1-8NMF五反田駅前ビル3階
東京地区（23区）,武蔵小山営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=971,03-4412-1080 ; 050-3194-1010 ; ,142-0062,東京都品川区小山4-4-7BPRプレイス武蔵小山8階
東京地区（23区）,自由が丘支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=077,03-3717-0141 ; 050-3194-0077 ; ,152-8561,東京都目黒区自由が丘2-12-15
東京地区（23区）,蒲田支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=046,03-3732-9171 ; 050-3194-0046 ; ,144-8502,東京都大田区蒲田5-37-1ニッセイアロマスクエア10階
東京地区（23区）,大森支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=058,03-5471-3311 ; 050-3194-0058 ; ,143-0016,東京都大田区大森北1-5-1ＪＲＥ大森駅東口ビル　1階
東京地区（23区）,成城支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=054,03-3415-5211 ; 050-3194-0054 ; ,157-0066,東京都世田谷区成城2-34-12
東京地区（23区）,経堂営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=962,03-3415-4173 ; 050-3194-1001 ; ,156-0051,東京都世田谷区宮坂3-10-9経堂フコク生命ビル2階
東京地区（23区）,渋谷支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=055,03-3463-9211 ; 050-3194-0055 ; ,150-0043,東京都渋谷区道玄坂1 - 1 2 - 1渋谷マークシティWEST13階
東京地区（23区）,用賀営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=126,03-4323-8650 ; 050-3194-0126 ; ,158-0097,東京都世田谷区用賀4-10-1
東京地区（23区）,三軒茶屋営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=974,03-4323-8640 ; 050-3194-1013 ; ,154-0004,東京都世田谷区太子堂2-16-5さいとうビル4階
東京地区（23区）,中野支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=044,03-5385-1311 ; 050-3194-0044 ; ,164-0001,東京都中野区中野2-30-5
東京地区（23区）,池袋支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=035,03-3982-2141 ; 050-3194-0035 ; ,171-0021,東京都豊島区西池袋1-11-1メトロポリタンプラザビル18 階
東京地区（23区）,成増営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=970,03-4354-0280 ; 050-3194-1009 ; ,175-0094,東京都板橋区成増1-30-13成増トーセイビル2階
東京地区（23区）,ときわ台営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=959,03-4354-2810 ; 050-3194-1033 ; ,174-0071,東京都板橋区常盤台1-2-1常盤台IGビル2階
東京地区（23区）,赤羽支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=043,03-3903-0311 ; 050-3194-0043 ; ,115-0045,東京都北区赤羽1-9-5
東京地区（23区）,練馬支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=079,03-3992-0131 ; 050-3194-0079 ; ,176-0012,東京都練馬区豊玉北5-17-13
東京地区（23区）,石神井公園営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=967,03-6367-3220 ; 050-3194-1006 ; ,177-0041,東京都練馬区石神井町3-27-23ブランシカ石神井公園5階
東京地区（23区）,千住支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=040,03-3879-6111 ; 050-3194-0040 ; ,120-0034,東京都足立区千住2-26
東京地区（23区以外）,仙川営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=975,03-4316-7500 ; 050-3194-1014 ; ,182-0002,東京都調布市仙川町1-11-12仙川山本ビル2階
東京地区（23区以外）,ひばりヶ丘営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=993,03-4354-2800 ; 050-3194-1028 ; ,202-0002,東京都西東京市ひばりが丘北3-5-19カマタビル3階
東京地区（23区以外）,吉祥寺支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=075,0422-22-9311 ; 050-3194-0075 ; ,180-8521,東京都武蔵野市吉祥寺本町2-1-10
東京地区（23区以外）,永福町営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=968,0422-57-3660 ; 050-3194-1007 ; ,168-0063,東京都杉並区和泉3-6-2プラムビル3階
東京地区（23区以外）,武蔵小金井営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=933,0422-57-3670 ; 050-3194-1061 ; ,184-0004,東京都小金井市 本町6-2-30SOCOLA武蔵小金井クロス1階
東京地区（23区以外）,国立支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=097,042-571-0211 ; 050-3194-0097 ; ,186-0002,東京都国立市東1-4-11
東京地区（23区以外）,立川支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=063,042-526-1711 ; 050-3194-0063 ; ,190-8686,東京都立川市曙町2-7-16鈴春ビル3階
東京地区（23区以外）,八王子支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=074,042-644-2211 ; 050-3194-0074 ; ,192-0083,東京都八王子市旭町8-10
東京地区（23区以外）,多摩支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=062,042-375-5511 ; 050-3194-0062 ; ,206-8520,東京都多摩市関戸1-7-5京王聖蹟桜ヶ丘ＳＣ　Ｃ館2Ｆ
東京地区（23区以外）,府中営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=123,042-307-0230 ; 050-3194-0123 ; ,183-0023,東京都府中市宮町1-40KDX府中ビル9階
東京地区（23区以外）,町田支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=048,042-722-2131 ; 050-3194-0048 ; ,194-8521,東京都町田市原町田6-12-20
東京地区（23区以外）,花小金井営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=982,04-2907-3510 ; 050-3194-1020 ; ,187-0003,東京都小平市花小金井南町1-18-14グラン・フルール1階
中部・北陸地区（愛知県除く）,新潟支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=500,025-223-4101 ; 050-3194-0500 ; ,951-8611,新潟県新潟市中央区本町通七番町1093-2
中部・北陸地区（愛知県除く）,長岡支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=501,0258-37-9001 ; 050-3194-0501 ; ,940-0066,新潟県長岡市東坂之上町1-2-5ステーションプラザ長岡ビル1階
中部・北陸地区（愛知県除く）,富山支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=260,076-424-2411 ; 050-3194-0260 ; ,930-8611,富山県富山市荒町3-3
中部・北陸地区（愛知県除く）,高岡支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=261,0766-21-3500 ; 050-3194-0261 ; ,933-0023,富山県高岡市末広町1−8ウイング・ウイング高岡 4階
中部・北陸地区（愛知県除く）,金沢支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=250,076-262-4211 ; 050-3194-0250 ; ,920-0869,石川県金沢市上堤町3-25
中部・北陸地区（愛知県除く）,福井支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=240,0776-22-3311 ; 050-3194-0240 ; ,910-0006,福井県福井市中央3-1-5三谷中央ビル9階
中部・北陸地区（愛知県除く）,甲府支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=092,055-222-0121 ; 050-3194-0092 ; ,400-0031,山梨県甲府市丸の内2-1-1
中部・北陸地区（愛知県除く）,長野支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=086,026-227-6501 ; 050-3194-0086 ; ,380-0825,長野県長野市大字南長野末広町1356-1Nacs末広 2階
中部・北陸地区（愛知県除く）,上田営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=983,026-477-0115 ; 050-3194-1021 ; ,386-0025,長野県上田市天神1-9-3ASANOビル3階
中部・北陸地区（愛知県除く）,松本支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=087,0263-35-0131 ; 050-3194-0087 ; ,390-0874,長野県松本市大手2-3-18
中部・北陸地区（愛知県除く）,岐阜支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=230,058-265-2171 ; 050-3194-0230 ; ,500-8407,岐阜県岐阜市高砂町 1-17岐阜イーストライジング24 2階
中部・北陸地区（愛知県除く）,多治見営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=953,052-559-0320 ; 050-3194-1040 ; ,507-0033,岐阜県多治見市本町三丁目101-1クリスタルプラザ多治見3階
中部・北陸地区（愛知県除く）,大垣営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=947,058-257-3510 ; 050-3194-1046 ; ,503-0887,岐阜県大垣市 郭町2-25Kix中央ビル1階
中部・北陸地区（愛知県除く）,静岡支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=210,054-254-3151 ; 050-3194-0210 ; ,420-8722,静岡県静岡市葵区追手町1-1
中部・北陸地区（愛知県除く）,藤枝営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=929,054-663-3322 ; 050-3194-1049 ; ,426-0067,静岡県藤枝市前島1-2-1オーレ藤枝　1階
中部・北陸地区（愛知県除く）,浜松支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=212,053-454-1411 ; 050-3194-0212 ; ,430-8675,静岡県浜松市中央区砂山町6-1JR浜松駅ビル 1F
中部・北陸地区（愛知県除く）,沼津支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=211,055-962-3590 ; 050-3194-0211 ; ,410-0801,静岡県沼津市大手町3-8-23ニッセイスタービル2階
中部・北陸地区（愛知県除く）,津支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=270,059-226-7111 ; 050-3194-0270 ; ,514-0009,三重県津市羽所町700アスト津　8階
中部・北陸地区（愛知県除く）,桑名営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=952,052-728-1040 ; 050-3194-1039 ; ,511-0061,三重県桑名市寿町二丁目31-12三交桑名駅前ビル3階
中部・北陸地区（愛知県除く）,四日市営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=945,059-212-0960 ; 050-3194-1045 ; ,510-0086,三重県四日市市諏訪栄町1-12朝日生命四日市ビル8階
中部・北陸地区（愛知県）,名古屋支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=200,052-563-3111 ; 050-3194-0200 ; ,450-6320,愛知県名古屋市中村区名駅1-1-1ＪＰタワー名古屋20階2階オフィスエントランスよりお入り頂き、オフィス用エレベーターにて20階までお越し下さい。
中部・北陸地区（愛知県）,鳴海営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=986,052-728-1020 ; 050-3194-1024 ; ,458-0831,愛知県名古屋市緑区鳴海町向田1-3名鉄鳴海駅構内2F
中部・北陸地区（愛知県）,八事営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=979,052-728-1000 ; 050-3194-1018 ; ,466-0815,愛知県名古屋市昭和区山手通5-7-1アイルモネ山手1階
中部・北陸地区（愛知県）,藤が丘営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=958,052-728-1030 ; 050-3194-1034 ; ,465-0033,愛知県名古屋市名東区明が丘124-2ami ami annex 1階
中部・北陸地区（愛知県）,豊田営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=939,052-770-0120 ; 050-3194-1055 ; ,471-0027,愛知県豊田市喜多町1-140GAZA　1階
中部・北陸地区（愛知県）,豊橋支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=206,0532-55-0011 ; 050-3194-0206 ; ,440-0888,愛知県豊橋市駅前大通1-27-1
中部・北陸地区（愛知県）,岡崎支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=205,0564-24-6811 ; 050-3194-0205 ; ,444-0860,愛知県岡崎市明大寺本町2-16
中部・北陸地区（愛知県）,知立営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=932,0564-77-2988 ; 050-3194-1058 ; ,472-0037,愛知県知立市 栄1-6エキタス知立　1階
中部・北陸地区（愛知県）,一宮支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=204,0586-71-6311 ; 050-3194-0204 ; ,491-0859,愛知県一宮市本町3-2-14
近畿地区（大阪府除く）,彦根支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=100,0749-23-2111 ; 050-3194-0100 ; ,522-0075,滋賀県彦根市佐和町6-9
近畿地区（大阪府除く）,京都支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=110,075-251-2111 ; 050-3194-0110 ; ,600-8005,京都府京都市下京区四条通麩屋町西入立売東町28-2大和証券京都ビル3階
近畿地区（大阪府除く）,伏見営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=965,075-251-2160 ; 050-3194-1004 ; ,612-8053,京都府京都市伏見区東大手町763番地若由ビル3階
近畿地区（大阪府除く）,大津営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=996,075-757-6920 ; 050-3194-1031 ; ,520-0047,滋賀県大津市浜大津2-1-36大津フコク生命ビル 1階
近畿地区（大阪府除く）,福知山営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=949,075-757-6940 ; 050-3194-1060 ; ,620-0045,京都府福知山市駅前町405ＪＴＢ福知山ビル　1階
近畿地区（大阪府除く）,草津営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=931,075-757-6950 ; 050-3194-1063 ; ,525-0026,滋賀県草津市渋川1-1-50近鉄百貨店3階
近畿地区（大阪府除く）,神戸支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=180,078-392-7911 ; 050-3194-0180 ; ,650-0001,兵庫県神戸市中央区加納町4-2-1神戸三宮阪急ビル2階
近畿地区（大阪府除く）,芦屋営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=980,078-955-9710 ; 050-3194-1019 ; ,659-0093,兵庫県芦屋市船戸町3-2タムラビル4階
近畿地区（大阪府除く）,姫路支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=181,079-223-2881 ; 050-3194-0181 ; ,670-0927,兵庫県姫路市駅前町60マルイト姫路ビル1階
近畿地区（大阪府除く）,尼崎支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=164,06-6411-1481 ; 050-3194-0164 ; ,660-0881,兵庫県尼崎市昭和通3丁目95番地アマックスビル　3階
近畿地区（大阪府除く）,塚口営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=930,06-7178-3111 ; 050-3194-1051 ; ,661-0002,兵庫県尼崎市塚口町1-12-8青山ビル　3階
近畿地区（大阪府除く）,明石支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=182,078-917-0001 ; 050-3194-0182 ; ,673-0892,兵庫県明石市本町2-2-22
